dataset_id,label,n_records,a6_applicable,matched_fraction,n_stratum,mc_ref,mc_ref_is_default,hard_reject_would_fire,n_corroborated,n_contradicted_eligible,n_unverifiable,contradicted_confirmed,contradicted_p_value,hard_reject_reason,elapsed_sec,note
real_ishikawa_2024_query,known_good,120.0,True,1.0,46.0,4.5,False,False,46.0,0.0,0.0,False,1.0,,11.18,"46/46 'Externally corroborated' of the records A6 actually forms a verdict on (46 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_japan-20190101_20211203_query,known_good,2535.0,True,1.0,937.0,4.5,False,False,937.0,0.0,0.0,False,1.0,,519.4,"937/937 'Externally corroborated' of the records A6 actually forms a verdict on (937 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_japan_2000_2023_query,known_good,11132.0,True,1.0,6416.0,4.599999999999998,False,False,6416.0,0.0,0.0,False,1.0,,563.22,"6416/6416 'Externally corroborated' of the records A6 actually forms a verdict on (6416 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_japan_20190101-20211009_query,known_good,1850.0,True,1.0,655.0,4.5,False,False,655.0,0.0,0.0,False,1.0,,343.61,"655/655 'Externally corroborated' of the records A6 actually forms a verdict on (655 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_japan_20220317_query,known_good,6.0,False,,0.0,,,False,,,,,,,4.77,No records at/above reference-complete stratum (Mc_ref=4.50 + SE nan). A(D) falls back to intrinsic-only A1-A5 for the whole dataset.
real_japan_20220319_query,known_good,32.0,True,1.0,12.0,4.5,False,False,12.0,0.0,0.0,False,,,5.97,"12/12 'Externally corroborated' of the records A6 actually forms a verdict on (12 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_japan_saitama_202407_202501,known_good,17.0,True,1.0,3.0,4.5,False,False,3.0,0.0,0.0,False,,,5.52,"3/3 'Externally corroborated' of the records A6 actually forms a verdict on (3 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_miyazaki_2024-2025,known_good,46.0,True,1.0,15.0,4.5,False,False,15.0,0.0,0.0,False,,,6.49,"15/15 'Externally corroborated' of the records A6 actually forms a verdict on (15 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_morocco_20230908_query,known_good,7009.0,False,,,,,False,,,,,,,,"SKIPPED (2026-07-13): dataset spans >50yr of real event history, which forces the EMSC/USGS/ISC reference query's time window to bisect across the same span. Under --reference-source multi each of the 3 sources gets its own separate 500-request pagination budget (not shared), and old/sparse-era queries can trigger a known EMSC/ISC pathology (bogus at/over-cap responses for physically-implausible narrow historical windows) that burns the full budget per source, compounded by HTTP retry backoff on failures -- observed to take 5+ hours for this one dataset (real_nankai_historical, only 13 records but a 684-1946 AD span) before being manually interrupted. Excluded from this live multi-source A6 calibration run by explicit user decision; needs separate investigation/handling, not evaluated here. See conversation log 2026-07-13 for the full root-cause analysis."
corrupt_real_morocco_20230908_query_timestamp_collision_low,known_bad,7009.0,False,,,,,False,,,,,,,,"SKIPPED (2026-07-13): dataset spans >50yr of real event history, which forces the EMSC/USGS/ISC reference query's time window to bisect across the same span. Under --reference-source multi each of the 3 sources gets its own separate 500-request pagination budget (not shared), and old/sparse-era queries can trigger a known EMSC/ISC pathology (bogus at/over-cap responses for physically-implausible narrow historical windows) that burns the full budget per source, compounded by HTTP retry backoff on failures -- observed to take 5+ hours for this one dataset (real_nankai_historical, only 13 records but a 684-1946 AD span) before being manually interrupted. Excluded from this live multi-source A6 calibration run by explicit user decision; needs separate investigation/handling, not evaluated here. See conversation log 2026-07-13 for the full root-cause analysis."
corrupt_real_morocco_20230908_query_timestamp_collision_high,known_bad,7009.0,False,,,,,False,,,,,,,,"SKIPPED (2026-07-13): dataset spans >50yr of real event history, which forces the EMSC/USGS/ISC reference query's time window to bisect across the same span. Under --reference-source multi each of the 3 sources gets its own separate 500-request pagination budget (not shared), and old/sparse-era queries can trigger a known EMSC/ISC pathology (bogus at/over-cap responses for physically-implausible narrow historical windows) that burns the full budget per source, compounded by HTTP retry backoff on failures -- observed to take 5+ hours for this one dataset (real_nankai_historical, only 13 records but a 684-1946 AD span) before being manually interrupted. Excluded from this live multi-source A6 calibration run by explicit user decision; needs separate investigation/handling, not evaluated here. See conversation log 2026-07-13 for the full root-cause analysis."
real_earthquake1,known_good,23232.0,False,,,,,False,,,,,,,,"SKIPPED (2026-07-13): dataset spans >50yr of real event history, which forces the EMSC/USGS/ISC reference query's time window to bisect across the same span. Under --reference-source multi each of the 3 sources gets its own separate 500-request pagination budget (not shared), and old/sparse-era queries can trigger a known EMSC/ISC pathology (bogus at/over-cap responses for physically-implausible narrow historical windows) that burns the full budget per source, compounded by HTTP retry backoff on failures -- observed to take 5+ hours for this one dataset (real_nankai_historical, only 13 records but a 684-1946 AD span) before being manually interrupted. Excluded from this live multi-source A6 calibration run by explicit user decision; needs separate investigation/handling, not evaluated here. See conversation log 2026-07-13 for the full root-cause analysis."
corrupt_real_earthquake1_inject_duplicates_med,known_bad,32989.0,False,,,,,False,,,,,,,,"SKIPPED (2026-07-13): dataset spans >50yr of real event history, which forces the EMSC/USGS/ISC reference query's time window to bisect across the same span. Under --reference-source multi each of the 3 sources gets its own separate 500-request pagination budget (not shared), and old/sparse-era queries can trigger a known EMSC/ISC pathology (bogus at/over-cap responses for physically-implausible narrow historical windows) that burns the full budget per source, compounded by HTTP retry backoff on failures -- observed to take 5+ hours for this one dataset (real_nankai_historical, only 13 records but a 684-1946 AD span) before being manually interrupted. Excluded from this live multi-source A6 calibration run by explicit user decision; needs separate investigation/handling, not evaluated here. See conversation log 2026-07-13 for the full root-cause analysis."
real_nankai_historical,known_good,13.0,False,,,,,False,,,,,,,,"SKIPPED (2026-07-13): dataset spans >50yr of real event history, which forces the EMSC/USGS/ISC reference query's time window to bisect across the same span. Under --reference-source multi each of the 3 sources gets its own separate 500-request pagination budget (not shared), and old/sparse-era queries can trigger a known EMSC/ISC pathology (bogus at/over-cap responses for physically-implausible narrow historical windows) that burns the full budget per source, compounded by HTTP retry backoff on failures -- observed to take 5+ hours for this one dataset (real_nankai_historical, only 13 records but a 684-1946 AD span) before being manually interrupted. Excluded from this live multi-source A6 calibration run by explicit user decision; needs separate investigation/handling, not evaluated here. See conversation log 2026-07-13 for the full root-cause analysis."
real_peru_20250616,known_good,25.0,True,1.0,7.0,4.5,False,False,7.0,0.0,0.0,False,,,9.19,"7/7 'Externally corroborated' of the records A6 actually forms a verdict on (7 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_potvilla_2024012,known_good,21.0,True,1.0,11.0,4.699999999999999,False,False,11.0,0.0,0.0,False,,,4.51,"11/11 'Externally corroborated' of the records A6 actually forms a verdict on (11 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_taiwan_20240403_query,known_good,9.0,True,1.0,8.0,4.999999999999998,False,False,8.0,0.0,0.0,False,,,4.81,"8/8 'Externally corroborated' of the records A6 actually forms a verdict on (8 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_taiwan_20240423_query,known_good,207.0,True,1.0,85.0,4.5,False,False,85.0,0.0,0.0,False,1.0,,16.58,"85/85 'Externally corroborated' of the records A6 actually forms a verdict on (85 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_taiwan_2024_query,known_good,378.0,True,1.0,130.0,4.5,False,False,130.0,0.0,0.0,False,1.0,,22.99,"130/130 'Externally corroborated' of the records A6 actually forms a verdict on (130 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_taiwan_202501,known_good,25.0,True,1.0,10.0,4.5,False,False,10.0,0.0,0.0,False,,,4.62,"10/10 'Externally corroborated' of the records A6 actually forms a verdict on (10 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_tibet_202501,known_good,19.0,True,1.0,6.0,4.5,False,False,6.0,0.0,0.0,False,,,4.53,"6/6 'Externally corroborated' of the records A6 actually forms a verdict on (6 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_tohoku_2005_2011,known_good,2774.0,True,1.0,979.0,4.799999999999997,False,False,979.0,0.0,0.0,False,1.0,,76.05,"979/979 'Externally corroborated' of the records A6 actually forms a verdict on (979 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_tohoku_202511,known_good,67.0,True,1.0,49.0,4.5,False,False,49.0,0.0,0.0,False,1.0,,5.17,"49/49 'Externally corroborated' of the records A6 actually forms a verdict on (49 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_tohoku_202512,known_good,117.0,True,1.0,49.0,4.5,False,False,49.0,0.0,0.0,False,1.0,,5.41,"49/49 'Externally corroborated' of the records A6 actually forms a verdict on (49 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_tohoku_202606,known_good,29.0,True,1.0,9.0,4.5,False,False,9.0,0.0,0.0,False,,,4.43,"9/9 'Externally corroborated' of the records A6 actually forms a verdict on (9 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_tokara_202506,known_good,91.0,True,1.0,46.0,4.5,False,False,46.0,0.0,0.0,False,1.0,,5.41,"46/46 'Externally corroborated' of the records A6 actually forms a verdict on (46 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_tonga_20210101_20220117_query,known_good,3545.0,True,1.0,1662.0,4.5,False,False,1661.0,1.0,0.0,False,0.9999999999991528,,80.44,"1661/1661 'Externally corroborated' of the records A6 actually forms a verdict on (1662 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 1 contradicted-eligible, not statistically confirmed)."
real_turkey_202504,known_good,8.0,False,,0.0,,,False,,,,,,,4.1,No records at/above reference-complete stratum (Mc_ref=4.50 + SE nan). A(D) falls back to intrinsic-only A1-A5 for the whole dataset.
real_usgs_current,known_good,183.0,True,1.0,8.0,4.5,False,False,8.0,0.0,0.0,False,,,13.27,"8/8 'Externally corroborated' of the records A6 actually forms a verdict on (8 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_venezuela_202606,known_good,10.0,True,1.0,2.0,4.700000000000001,False,False,2.0,0.0,0.0,False,,,8.17,"2/2 'Externally corroborated' of the records A6 actually forms a verdict on (2 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_yamanashi_202606,known_good,10.0,True,1.0,3.0,4.5,False,False,3.0,0.0,0.0,False,,,4.57,"3/3 'Externally corroborated' of the records A6 actually forms a verdict on (3 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_indonesia_palu_2018,known_good,155.0,True,1.0,69.0,4.5,False,False,69.0,0.0,0.0,False,1.0,,10.78,"69/69 'Externally corroborated' of the records A6 actually forms a verdict on (69 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_ridgecrest_california_2019,known_good,108.0,True,1.0,35.0,4.5,False,False,35.0,0.0,0.0,False,1.0,,8.78,"35/35 'Externally corroborated' of the records A6 actually forms a verdict on (35 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_amatrice_norcia_italy_2016,known_good,72.0,True,1.0,15.0,4.5,False,False,15.0,0.0,0.0,False,,,7.06,"15/15 'Externally corroborated' of the records A6 actually forms a verdict on (15 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_anchorage_alaska_2018,known_good,43.0,True,1.0,16.0,4.5,False,False,16.0,0.0,0.0,False,,,6.66,"16/16 'Externally corroborated' of the records A6 actually forms a verdict on (16 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_chiapas_mexico_2017,known_good,534.0,True,1.0,113.0,4.5,False,False,113.0,0.0,0.0,False,1.0,,15.41,"113/113 'Externally corroborated' of the records A6 actually forms a verdict on (113 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_gorkha_nepal_2015,known_good,259.0,True,1.0,66.0,4.5,False,False,66.0,0.0,0.0,False,1.0,,13.15,"66/66 'Externally corroborated' of the records A6 actually forms a verdict on (66 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_haiti_2010,known_good,99.0,True,1.0,22.0,4.599999999999998,False,False,22.0,0.0,0.0,False,1.0,,6.09,"22/22 'Externally corroborated' of the records A6 actually forms a verdict on (22 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_kahramanmaras_turkey_2023,known_good,488.0,True,1.0,119.0,4.5,False,False,119.0,0.0,0.0,False,1.0,,17.08,"119/119 'Externally corroborated' of the records A6 actually forms a verdict on (119 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_kermanshah_iran_2017,known_good,90.0,True,1.0,26.0,4.5,False,False,26.0,0.0,0.0,False,1.0,,6.46,"26/26 'Externally corroborated' of the records A6 actually forms a verdict on (26 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_muisne_pedernales_ecuador_2016,known_good,87.0,True,1.0,34.0,4.600000000000001,False,False,34.0,0.0,0.0,False,1.0,,6.52,"34/34 'Externally corroborated' of the records A6 actually forms a verdict on (34 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_png_highlands_2018,known_good,301.0,True,1.0,33.0,4.9999999999999964,False,False,33.0,0.0,0.0,False,1.0,,13.4,"33/33 'Externally corroborated' of the records A6 actually forms a verdict on (33 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_china_sichuan_2008,known_good,717.0,True,1.0,166.0,4.5,False,False,166.0,0.0,0.0,False,1.0,,17.18,"166/166 'Externally corroborated' of the records A6 actually forms a verdict on (166 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_china_yunnan_general,known_good,114.0,True,1.0,90.0,4.5,False,False,90.0,0.0,0.0,False,1.0,,12.09,"90/90 'Externally corroborated' of the records A6 actually forms a verdict on (90 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_china_xinjiang_general,known_good,485.0,True,1.0,335.0,4.5,False,False,335.0,0.0,0.0,False,1.0,,31.33,"335/335 'Externally corroborated' of the records A6 actually forms a verdict on (335 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_india_kashmir_2005,known_good,519.0,True,1.0,32.0,4.999999999999997,False,False,32.0,0.0,0.0,False,1.0,,14.49,"32/32 'Externally corroborated' of the records A6 actually forms a verdict on (32 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_india_assam_general,known_good,255.0,True,1.0,189.0,4.5,False,False,189.0,0.0,0.0,False,1.0,,16.62,"189/189 'Externally corroborated' of the records A6 actually forms a verdict on (189 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_pakistan_balochistan_2013,known_good,46.0,True,1.0,17.0,4.5,False,False,17.0,0.0,0.0,False,,,5.55,"17/17 'Externally corroborated' of the records A6 actually forms a verdict on (17 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_colombia_andes_general,known_good,700.0,True,1.0,171.0,4.5,False,False,171.0,0.0,0.0,False,1.0,,28.02,"171/171 'Externally corroborated' of the records A6 actually forms a verdict on (171 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_argentina_sanjuan_general,known_good,1054.0,True,1.0,321.0,4.5,False,False,321.0,0.0,0.0,False,1.0,,42.57,"321/321 'Externally corroborated' of the records A6 actually forms a verdict on (321 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_bolivia_deep_general,known_good,960.0,True,1.0,674.0,4.5,False,False,674.0,0.0,0.0,False,1.0,,43.19,"674/674 'Externally corroborated' of the records A6 actually forms a verdict on (674 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_guatemala_general,known_good,1642.0,True,1.0,323.0,4.5,False,False,323.0,0.0,0.0,False,1.0,,86.02,"323/323 'Externally corroborated' of the records A6 actually forms a verdict on (323 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_costarica_general,known_good,612.0,True,1.0,242.0,4.5,False,False,242.0,0.0,0.0,False,1.0,,80.07,"242/242 'Externally corroborated' of the records A6 actually forms a verdict on (242 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_panama_general,known_good,513.0,True,1.0,244.0,4.5,False,False,244.0,0.0,0.0,False,1.0,,36.63,"244/244 'Externally corroborated' of the records A6 actually forms a verdict on (244 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_puertorico_2020_ponce,known_good,1253.0,True,1.0,29.0,4.5,False,False,29.0,0.0,0.0,False,1.0,,37.21,"29/29 'Externally corroborated' of the records A6 actually forms a verdict on (29 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_dominicanrepublic_general,known_good,323.0,True,1.0,50.0,4.5,False,False,50.0,0.0,0.0,False,1.0,,17.86,"50/50 'Externally corroborated' of the records A6 actually forms a verdict on (50 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_croatia_petrinja_2020,known_good,18.0,True,1.0,3.0,4.5,False,False,3.0,0.0,0.0,False,,,5.33,"3/3 'Externally corroborated' of the records A6 actually forms a verdict on (3 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_albania_durres_2019,known_good,65.0,True,1.0,14.0,4.5,False,False,14.0,0.0,0.0,False,,,5.78,"14/14 'Externally corroborated' of the records A6 actually forms a verdict on (14 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_portugal_azores_general,known_good,163.0,True,1.0,79.0,4.5,False,False,79.0,0.0,0.0,False,1.0,,23.11,"79/79 'Externally corroborated' of the records A6 actually forms a verdict on (79 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_tanzania_rift_general,known_good,223.0,True,1.0,82.0,4.5,False,False,82.0,0.0,0.0,False,1.0,,11.34,"82/82 'Externally corroborated' of the records A6 actually forms a verdict on (82 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_drc_rift_general,known_good,137.0,True,1.0,49.0,4.5,False,False,49.0,0.0,0.0,False,1.0,,9.3,"49/49 'Externally corroborated' of the records A6 actually forms a verdict on (49 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_mozambique_general,known_good,18.0,True,1.0,10.0,4.5,False,False,10.0,0.0,0.0,False,,,7.97,"10/10 'Externally corroborated' of the records A6 actually forms a verdict on (10 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
